embed_dim,weight_decay,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,acc_mean,acc_std,nll_mean,nll_std,wall_time_mean_s
32,1e-05,3,0.9182,0.0034,0.7165,0.0014,0.4372,0.0013,1.2583,0.0044,44.0
64,1e-05,3,0.9153,0.0016,0.7136,0.0015,0.4385,0.0002,1.2548,0.0038,46.5
128,1e-06,3,0.9129,0.0035,0.7120,0.0015,0.4385,0.0009,1.2523,0.0062,43.0
128,1e-05,3,0.9108,0.0026,0.7119,0.0020,0.4368,0.0026,1.2515,0.0059,49.0
128,1e-04,3,0.9166,0.0020,0.7173,0.0008,0.4341,0.0033,1.2588,0.0034,69.9
256,1e-05,3,0.9107,0.0010,0.7122,0.0008,0.4380,0.0029,1.2479,0.0015,65.6
