fusion,head,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,acc_mean,acc_std,nll_mean,nll_std,wall_time_mean_s
additive,ordinal,3,0.9228,0.0012,0.7221,0.0012,0.4311,0.0018,1.2637,0.0046,30.1
additive,sigmoid,3,0.9259,0.0004,0.7321,0.0004,0.4166,0.0002,—,—,24.0
gated,ordinal,3,0.9179,0.0029,0.7182,0.0032,0.4335,0.0014,1.2560,0.0007,39.8
gated,sigmoid,3,0.9182,0.0007,0.7230,0.0015,0.4256,0.0012,—,—,34.2
none,ordinal,3,0.9289,0.0006,0.7309,0.0008,0.4237,0.0015,1.2682,0.0031,28.1
none,sigmoid,3,0.9258,0.0004,0.7328,0.0002,0.4194,0.0002,—,—,21.7
