bucket,n_test_ratings,n_users,gated_rmse,gated_mae,additive_rmse,additive_mae,rmse_delta_additive_minus_gated,mean_gate_u,mean_gate_i
<30,2717,189,0.9799,0.7723,0.9803,0.7730,+0.0004,0.2460,0.3158
30–59,3441,108,0.9649,0.7536,0.9768,0.7605,+0.0119,0.2563,0.3174
60–119,5846,89,0.8841,0.6922,0.8929,0.6985,+0.0088,0.2631,0.3159
120–239,6350,59,0.8896,0.7007,0.8946,0.7013,+0.0051,0.2682,0.3174
≥240,1646,14,0.9200,0.7071,0.9128,0.7068,-0.0071,0.2906,0.3160
