fusion,head,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,acc_mean,acc_std,nll_mean,nll_std,wall_time_mean_s
gated,ordinal,3,0.8481,0.0006,0.6630,0.0010,0.4654,0.0014,1.1842,0.0013,737.2
gated,sigmoid,3,0.8502,0.0003,0.6695,0.0001,0.4579,0.0002,—,—,568.3
none,sigmoid,3,0.8567,0.0008,0.6782,0.0007,0.4480,0.0005,—,—,392.9
