link,n_splits,rmse_mean,rmse_std,mae_mean,mae_std,acc_mean,acc_std,nll_mean,nll_std,per_split_rmse
logit,5,0.9124,0.0036,0.7126,0.0042,0.4373,0.0045,1.2584,0.0043,"[0.9179, 0.9132, 0.9082, 0.9123, 0.9104]"
probit,5,0.9115,0.0054,0.7149,0.0056,0.4325,0.0060,1.2633,0.0043,"[0.9200, 0.9125, 0.9056, 0.9110, 0.9084]"
